place_id,name,location,district,weather,description,img_url
ama,Ama Dabkam Base Camp,Solukhumbu,Solukhumbu,cold,Base camp for Ama Dablam expedition offering technical climbing access and spectacular mountain scenery.,https://adventureconsultants.com/uploads/Himalaya/Ama-Dablam/AD-SL.jpg
annapurna_trek,Annapurna Trekking,Annapurna region,Multiple,cold,World-famous trekking route with breathtaking mountain views.,https://www.acethehimalaya.com/wp-content/uploads/2022/08/memories-made-at-abc-during-annapurna-base-camp-trek-600x450.jpg.webp
annapurna_trek,Annapurna Base Camp,,kaski,cold,Trek through rhododendron forests and traditional villages to reach the spectacular amphitheater of peaks at 4130m elevation.,https://www.mountainphotography.com/images/xl/20141119-ABC-Welcome-Sign.jpg
bagra,Bagra,Manang,Manang,cold,Traditional village in Manang district known for ancient monastery Tibetan culture and mountain lifestyle.,https://media02.stockfood.com/largepreviews/MjIxMjA3MjYxMQ%3D%3D/71357181-The-traditional-village-of-Braga-in-the-Manang-Valley-Nepal-Himalayas-Asia.jpg
bandipur,Bandipur,Bandipur,Tanahun,warm,A preserved historic town with traditional Newari architecture and mountain views.,https://www.footprintadventure.com/uploads/media/Villages/bandipur-bazaar.jpg
bardiya_np,Bardiya National Park,Thakurdwara,Bardiya,warm,"Lush forest home to Bengal tigers, elephants, and rare species.",https://bardianationalpark.gov.np/media/slider_image/photo_2.jpg
bat_cave,Bat Cave,Pokhara,Kaski,cold,Limestome Cave and Bat Colony,https://saarang.com.np/wp-content/uploads/2023/08/Chamero-Gufa-Photo.jpeg
begnas_lake,Begnas Lake,Pokhara,Kaski,cold;sunny,Peaceful lake near Pokhara perfect for kayaking fishing and enjoying serene natural surroundings.,https://nepaltraveller.com/images/main/1611908148.sidetrackimage1024px-Begnas_Lake_Bhuwan.jpg
bhaktapur_durbar,Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,sunny,UNESCO World Heritage Site with medieval architecture and art.,https://images.squarespace-cdn.com/content/v1/57b9b98a29687f1ef5c622df/1487895673391-0CPDBXETME6LTQC0M45T/00000000000000000000.jpg
bhedetar,Bhedetar,Dhankuta,Dhankuta,cold,"A popular hill station in Eastern Nepal, near Dharan, known for its cooler climate, lush green hills, and panoramic views of the Terai plains and sometimes even Mount Everest on clear days",https://upload.wikimedia.org/wikipedia/commons/1/13/Vedetar_2019_web_small.jpg
bhotekhosi,Bhotekhosi River,Sindhupalchok,Sindhupalchowk,cold,"A Himalayan river known for white-water rafting, bungee jumping, and adventure sports near the Tibet-Nepal border.",https://www.mountainmarttreks.com/public/uploads/Bhotekoshi.jpg
bouddhanath,Boudhanath Stupa,Kathmandu,Kathmandu,sunny,One of world's largest stupas and important Tibetan Buddhist pilgrimage site with vibrant monastery life.,https://lp-cms-production.imgix.net/2019-06/813869da84003e9ab623499ae2465723-bodhnath-stupa.jpg
budhanilkantha,Budhanilkantha,Kathmandu,Kathmandu,sunny,Famous for large stone sculpture of sleeping Vishnu lying on serpent bed in water pool.,http://budhanilkanthatemple.org.np/assets/template/img/banner-img1.jpg
changu_narayan,Changu Narayan,Bhaktapur,Solukhumbu,sunny,Ancient Hindu temple dedicated to Lord Vishnu featuring exquisite stone and wood carvings from 4th century.,https://nht-api.nepalhikingteam.com/media/blog/banner/changu-narayan-temple.jpg
charang,Charang,Mustang,Mustang,cold,Historic village in Upper Mustang known for monastery cave dwellings and traditional Tibetan lifestyle.,https://www.uppermustangtour.com/wp-content/uploads/2023/02/Ghami-village.jpg
chhomrong,Chhomrong,Kaski,kaski,cold,Beautiful Gurung village serving as gateway to Annapurna Sanctuary with stunning mountain panoramas.,https://wideangleadventure.com/wp-content/uploads/2013/03/Day-5-Chomrong-to-Bamboo-1-of-13-1024x683.jpg
chitlang,Chitlang,Makwanpur,Makwanpur,sunny,"A picturesque, traditional Newari village nestled in a valley southwest of Kathmandu, known for its organic farms, pear orchards, and peaceful environment",https://www.chitlang.com/wp-content/uploads/2023/03/chitlang-village.jpg
chitwan_jungle,Chitwan Jungle Safari,Chitwan,Chitwan,warm,"Explore wildlife in dense jungles and spot rhinos, tigers, and elephants.",https://www.dudhwanptr.com/wp-content/uploads/2018/12/One-horn-rhino.jpg
cho_la_pass,Cho La Pass,Solukhumbu,Solukhumbu,cold,Challenging high-altitude pass connecting Gokyo and Everest Base Camp valleys requiring glacier travel experience.,https://res.cloudinary.com/images-swotahtravel-com/image/upload/v1695275165/blog%20images/cho_la_pass_sign_board.jpg
chukung,Chukung,Solukhumbu,Solukhumbu,cold,Small village in beautiful valley offering alternative route climbing peaks and stunning mountain amphitheater.,https://images.fineartamerica.com/images-medium-large-5/view-from-chukhung-ri-himalayas-nepal-feng-wei-photography.jpg
churiyamai,Churiyamayi,Hetauda,Makwanpur,cold,Churiyamai is a Hindu temple in southern Nepal dedicated to the goddess believed to protect travelers and ensure their safety on the roads.,https://www.landnepal.com/wp-content/uploads/2021/07/Churiyamai.jpg
dakshinkali,Dakshinkali Temple,Kathmandu,Kathmandu,sunny,Hindu temple dedicated to Goddess Kali known for animal sacrifices especially during Saturday rituals.,https://cms.holidaystonepal.in/media/Blogs/Dakshinkali-Temple/dakshinkali-temple.png
deurali,Deurali,Kaski,Kaski,cold,High-altitude stop on Annapurna Base Camp trek featuring alpine environment and mountain lodge accommodation.,https://wideangleadventure.com/wp-content/uploads/2013/03/Day-6-Bamboo-to-Deurali-6-of-12-1024x683.jpg
devgat,Devgat,Tanahu,Nawalparasi,sunny,A sacred Hindu pilgrimage site located at the confluence of the Kali Gandaki and Trisuli rivers.,https://www.chitwantourism.com/wp-content/uploads/2023/08/devghat-dham.jpg
devis_fall,Devis Fall,Pokhara,kaski,rainy,A dramatic waterfall just southwest of Pokahra airpot,https://www.vivaanadventure.com/wp-content/uploads/2018/10/Davis-Fall-Pokhara.jpg
dhampus,Dhampus,Kaski,Kaski,cold,Peaceful village offering panoramic Himalayan views traditional lifestyle and short trekking opportunities.,https://cms.altitudehimalaya.com/media/Blog/Travel-Guides/Dhampus-Village-of-Nepal.jpeg
dhorpatan,Dhorpatan Hunting Reserve,Baglung,Myagdi,cold,"Nepal's only hunting reserve, located in the western Dhaulagiri Himal range. Beyond regulated hunting",https://www.footprintadventure.com/uploads/media/Dhorpatan%20Hunting%20Reserve/Dhorpatan%20HUnting%20Reserve.jpg
dhulikhel,Dhulikhel,Kavrepalanchok,Kavrepalanchok,sunny,Historic Newari town famous for sunrise views over Himalayas traditional architecture and cultural heritage.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a1/6c/59/photo0jpg.jpg?h=1400&s=1&w=1400
dingboche,Dingboche,Solukhumbu,Solukhumbu,cold,High-altitude village on Everest trek known for stone-walled fields yak herding and mountain acclimatization.,https://res.cloudinary.com/images-swotahtravel-com/image/upload/v1695366384/blog%20images/dingboche.jpg
dolpo,Dolpo,Dolpa,Dolpa,cold,Remote trans-Himalayan region featuring Tibetan culture Shey Phoksundo Lake and pristine wilderness.,https://www.sakuratrek.com/wp-content/uploads/2017/11/upper-dolpo.jpg
everest_base,Everest Base Camp,,Solukhumbu,cold,Ultimate trekking destination leading to the base of world's highest peak through Sherpa villages and Buddhist monasteries.,https://b1088268.smushcdn.com/1088268/wp-content/uploads/2021/12/everest-base-camp-trek-1-scaled-1.jpg?lossy=2&strip=1&webp=1
gadhimai_temple,Gadhimai Temple,Bariyarpur,Bara,warm,An important Hindu shrine famous for large religious fairs.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gadhimai_Temple_Gadhimai_Kalaiya_Bara_Nepal_Rajesh_Dhungana_%283%29.jpg/1280px-Gadhimai_Temple_Gadhimai_Kalaiya_Bara_Nepal_Rajesh_Dhungana_%283%29.jpg
gandruk,Ghandruk,Kaski,Kaski,cold,Traditional Gurung village with stone houses terraced fields and spectacular Annapurna mountain views.,https://upload.wikimedia.org/wikipedia/commons/7/7a/Ghandruk_HDR6.jpg
ghale_gaun,Ghale Gaun,Lamjung,Lamjung,warm,Model eco-tourism village showcasing Gurung culture traditional lifestyle and organic farming practices.,https://www.natureloverstrek.com/pagegallery/interesting-things-about-ghale-gaun-in-lamjung-%7C-everything-you-need-to-know-about-ghale-gaun64.jpg
ghami,Ghami,Mustang,Mustang,cold,Remote village featuring longest mani wall in Nepal ancient monastery and traditional mustangi architecture.,https://fis-api.nepalkameleonholidays.com/media/attachments/tsarang-charang-village-tour%20%284%29.jpg
ghorepani,Ghorepani,Kaski,Kaski,cold,Traditional Magar village serving as base for Poon Hill trek with rhododendron forests and mountain views.,https://travelumpire.com/wp-content/uploads/2022/06/Ghorepani-Trek.jpg
gokyo,Gokyo,Solukhumbu,Solukhumbu,cold,Village beside pristine glacial lakes offering alternative Everest region trek and Gokyo Ri viewpoint access.,https://media.istockphoto.com/id/649649452/photo/sherpa-village-teahouses-glaciers-himalayan-mountain-peaks-gokyo-nepal.jpg?s=612x612&w=0&k=20&c=E8S0_JptwCejhIhl0ABSHq_nEb_tD9U5fro3199xTqs=
gorak_she,Gorak Shep,Solukhumbu,Solukhumbu,cold,Last settlement before Everest Base Camp featuring basic accommodation and staging point for summit attempts.,https://highlandexpeditions.com/wp-content/uploads/2025/04/Everything-You-Need-to-know-About-Gorakshep-Village-1.webp
gorkha,Gorkha Durbar,Gorkha,Gorkha,warm,Historic palace birthplace of King Prithvi Narayan Shah founder of modern Nepal with architectural significance.,https://nepaltraveller.com/images/main/1682496273.sidetrackimageimage_750x_61facb75a279b.jpg
gosaikundha,Gosaikunda,Rasuwa,Rasuwa,cold,Sacred alpine lake complex important to both Hindu and Buddhist pilgrims at high altitude setting.,https://www.nepalindependentguide.com/wp-content/uploads/2025/01/Dudh-kunda-treks.gif
gupteshwor_mahadev_cave,Gupteshwor Mahadev Cave,Pokhara,Kaski,rainy,A sacred cave gouses with shiva lingam and indicate stalactite formation,https://www.vivaanadventure.com/wp-content/uploads/2018/10/13102371_1400624070238956_125889896_n.jpg
helambu,Helambu,Sindhupalchok,Sindhupalchok,cold,Scenic trekking region known for Hyolmo culture rhododendron forests and relatively easy mountain access.,https://www.natureloverstrek.com/pagegallery/everything-you-need-to-know-about-helambu-%7C-interesting-things-about-helambu-region48.jpg
ilam,Kanyam,Ilam,Ilam,cold;sunny,"A scenic hill station known for tea gardens, greenery, and fresh air.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Tea_garden_at_kanyam_ilam.jpg/2560px-Tea_garden_at_kanyam_ilam.jpg
island_peal,Island Peak Base Camp,Solukhumbu,Solukhumbu,cold,Base camp for Island Peak climbing offering mountaineering experience and spectacular Himalayan scenery.,https://images.squarespace-cdn.com/content/v1/55d729cfe4b00ab3960e7989/1579219545449-ERNEAGZTG1JERP1K7O8C/6550740747_5c53480b49_o.jpg
janaki_temple,Janaki Temple,Janakpur,Dhanusha,warm,"A grand temple dedicated to Goddess Sita, revered by Hindus.",https://media.istockphoto.com/id/1406903619/photo/birth-palace-of-sita-mata-janakpur.jpg?s=1024x1024&w=is&k=20&c=u4bflQI09ruMkapu5Z-OlsojIgdpPz9tSGZAajKXXIo=
jiri_basecamp,Jiri BaseCamp,Jiri,Dolakha,cold,Gateway to Everest in earlier trekking days.,https://www.nepalmountaintrekkers.com/wp-content/uploads/2021/02/jiri-ebc.jpg
jomson,Jomsom,Mustang,Mustang,cold,Remote trans-Himalayan region featuring Tibetan culture Shey Phoksundo Lake and pristine wilderness.,https://media.nepaltrekadventures.com/uploads/img/jomsom-banner.webp
kagbeni,Kagbeni,Mustang,Mustang,cold,Medieval village at confluence of rivers serving as gateway to restricted Upper Mustang region.,https://nepaltraveller.com/images/main/1607422268.sidetrackimagekagbeni%20thumbnail.jpg
kakani,kakani,Nuwakot,Nuwakot,cold,"A scenic hill station northwest of Kathmandu, famous for its breathtaking views of the Ganesh Himal range and other Himalayan peaks.",https://www.thirdrockadventures.com/assets-back/images/trip/kakani.jpgM9h.jpg
kalapattar,kala Pattar,Solukhumbu,Solukhumbu,cold,Famous viewpoint offering best close-up views of Mount Everest without technical climbing requirements.,https://www.acethehimalaya.com/wp-content/uploads/2025/01/kalapatthar-the-best-viewpoint-to-witness-mount-Everest.jpg.webp
kalinchowk_temple,Kalinchowk Bhagwati,Dolakha,Dolakha,cold,A popular shrine and snow destination in winter.,https://upload.wikimedia.org/wikipedia/commons/f/f4/Kuri_Village.jpg
kanchenjunga,Kanchenjunga Base Camp,,,cold,Challenging trek to base of world's third highest peak featuring remote valleys glaciers and mountain communities.,https://www.adventurealternative.com/wp-content/uploads/2024/07/kanch-bc.jpg.webp
kathmandu_durbar,Kathmandu Durbar Square,Kathmandu,Kathmandu,warm,Historic palace complex in the heart of Kathmandu city with temples and museums.,https://live.staticflickr.com/777/21763669118_d2cd207dee_b.jpg
khaptad_national_park,Khaptad National Park,Bajhang,Bajhang,sunny,"Undisturbed biodiversity and rolling meadows, perfect for meditation and nature lovers.",https://english.onlinekhabar.com/wp-content/uploads/2022/08/khaptad-wildflower.jpg
khulekhani,Khulekhani Dham,Khulekhani,Makwanpur,warm,"Home to the Kulekhani Dam, which creates the large artificial Indrasarobar Lake",https://nepaltraveller.com/uploads/destination/kulekhani-camping-fishing-and-a-manmade-lake.jpg
khumjung,Khumjung,Solukhumbu,Solukhumbu,cold,Twin village with Khumjung featuring Hillary Hospital traditional Sherpa lifestyle and mountain panoramas.,https://www.natureloverstrek.com/pagegallery/interesting-things-about-khunde-village-%7C-all-you-need-to-know-about-khunde82.JPG
khunde,Khunde,Solukhumbu,Solukhumbu,cold,"Khunde is a Sherpa village in the Khumbu region of Nepal, known for its traditional culture, stunning Himalayan views, and the historic Khunde Hospital founded by Sir Edmund Hillary.",https://www.natureloverstrek.com/pagegallery/interesting-things-about-khunde-village-%7C-all-you-need-to-know-about-khunde82.JPG
langtang,Langtang Valley,Rasuwa,Rasuwa,cold,Beautiful valley trek through rhododendron forests Tamang villages and close-up Himalayan peak views.,https://nepalecoadventure.com/wp-content/uploads/2019/02/Langtang-Village-Before-and-After-the-Earthquake.jpg
lobuche,Lobuche,Solukhumbu,Solukhumbu,cold,Last major stop before Everest Base Camp offering basic accommodation and stunning peak views.,https://i0.wp.com/www.domonthego.com/wp-content/uploads/2017/10/EBC_Day_10_Lobuche_to_Gorakshep_DomOnTheGo-45_new.jpg?resize=1080%2C675&ssl=1
lomanthang,Lo Manthang,Mustang,Mustang,cold,Ancient walled capital of Upper Mustang featuring Tibetan culture medieval architecture and royal palace.,https://tourism.gandaki.gov.np/wp-content/uploads/2021/05/lo-manthang.jpg
lukla,Lukla,Solukhumbu,Solukhumbu,cold,Gateway to Everest region featuring famous Tenzing-Hillary Airport and starting point for most Everest treks.,https://media.nepaltrekadventures.com/uploads/media/Blog/History%20of%20Lukla%20Airport/Lukla-villag.jpg
lumbini,Lumbini,Lumbini,Rupandehi,warm,"Birthplace of Lord Buddha, a UNESCO World Heritage site and pilgrimage destination.",https://cdn.elebase.io/173fe953-8a63-4a8a-8ca3-1bacb56d78a5/1541dff2-f6a9-48b2-9bcd-f2edbebf6845-lumbini-gallery-02.jpg?fit=crop&h=500&q=75&w=1000
macchapuchhrea_camp,Machhapuchhre Base Camp,Kaski,Kaski,cold,Base camp offering closest approach to sacred Fishtail peak with dramatic mountain scenery and glacial views.,https://live.staticflickr.com/2826/33513640340_1cd0f37a6b_h.jpg
makwanpur_gadi,Makwanpur Gadhi,Hetauda,Makwanpur,sunny,"A historical fort located in Makwanpur District, with strategic importance during Nepal's ancient and medieval periods.",https://www.landnepal.com/wp-content/uploads/2021/06/makawanpurGadhi_LN.jpg
maleku_base_camp,Makalu Base Camp,,Solukhumbu,cold,Remote trekking destination to base of world's fifth highest peak through pristine wilderness and diverse ecology.,https://itrekeverest.com/wp-content/uploads/2010/09/makalu-3.jpg
manag,Manang,Mangang,Mangang,cold,High altitude village on Annapurna Circuit offering acclimatization stunning views and Tibetan Buddhist culture.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Time-Tested_Majesty_Bhraka_Village_at_Manang%2C_Nepal.jpg/2560px-Time-Tested_Majesty_Bhraka_Village_at_Manang%2C_Nepal.jpg
manakamana_cable,Manakamana Temple,Gorkha,Gorkha,warm,"Famous temple of goddess Bhagwati, accessible by cable car.",https://sannidhi.net/wp-content/uploads/2023/03/manakamana2.jpeg
mardi_himal,Mardi Himal Base Camp,kaski,kaski,cold,Popular sunrise viewpoint accessible through short trek offering panoramic Annapurna and Dhaulagiri ranges.,https://www.farouttrek.com/wp-content/uploads/2022/02/20220413_060357-scaled-e1650699421249-690x1024-1.jpg
mktinath,Muktinath,Jomsom,Mustang,cold,Sacred pilgrimage site for both Hindus and Buddhists featuring eternal flame and 108 water spouts.,https://peregrinetreks.com/wp-content/uploads/2024/09/Hindu-Temple-Muktinath.webp
monjo,Monjo,Solukhumbu,Solukhumbu,cold,Village at entrance to Sagarmatha National Park with checkpoint suspension bridges and mountain lodge facilities.,https://www.natureloverstrek.com/pagegallery/all-you-need-to-know-about-monjo-village-%7C-interesting-things-about-monjo77.jpg
mustang,Mustang,Mustang,Mustang,cold,Former forbidden kingdom featuring Tibetan culture ancient caves monasteries and dramatic desert landscapes.,https://snowcattravel.wordpress.com/wp-content/uploads/2019/07/charang-upper-mustang.jpeg
nagarkot_hill,Nagarkot Hill,Nagarkot,Bhaktapur,cold,Famous for spectacular sunrise views over the Himalayas and trekking trails.,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/36/be/3f.jpg
namche_bazar,Namche Bazaar,Solukhumbu,Solukhumbu,cold,Sherpa capital and acclimatization stop on Everest trek featuring markets lodges and mountain culture.,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2023/11/10082949/Feature-13-1600x900.jpg
namobuddha,Namo Buddha,Kavrepalanchok,Kavrepalanchok,sunny,Sacred Buddhist pilgrimage site where Buddha offered his body to hungry tigress in previous incarnation.,https://whitehilladventure.com/wp-content/uploads/2019/02/namo.jpg
panchase,Panchase Trek,Annapurna region,Kaski;Syanga,cold,"A beautiful and culturally significant hill west of Pokhara, known for its pristine natural environment, diverse biodiversity",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/0a/79/17/22.jpg
pang_boche,Pangboche,Solukhumbu,Solukhumbu,cold,Traditional Sherpa village featuring ancient monastery yak pastures and authentic mountain culture experience.,https://www.acethehimalaya.com/wp-content/uploads/2025/03/pangboche-village-picturesque-himalayan-settlement.jpg.webp
parsa_national_park,Parsa National Park,Parsa,Bara,sunny,A national park with amazing   wildanimals and scenary.,https://tigerencounter.com/wp-content/uploads/2019/12/Royal-Bengal-tiger-in-Parsa-National-Park-1024x384.jpg
pashupatinath,Pashupatinath Temple,Kathmandu,Kathmandu,sunny,Sacred Hindu temple complex along Bagmati River featuring ancient architecture and spiritual ceremonies.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/4a/95/ac/pashupatinath-is-the.jpg?h=500&s=1&w=900
patan_durbar,Patan Durbar Square,Patan,Lalitpur,sunny,Heritage square with fine Newari arts.,https://media.sublimetrails.com/uploads/img/untitled-design--50-.webp
phakding,Phakding,Solukhumbu,Solukhumbu,cold,First major stop on Everest trek offering comfortable lodges riverside location and gentle introduction to Khumbu.,https://awaywegomk.com/wp-content/uploads/2021/06/20180507_071051.jpg
pheriche,Pheriche,Solukhumbu,Solukhumbu,cold,High-altitude village with medical post serving as acclimatization stop with mountain rescue facilities.,https://www.footprintadventure.com/uploads/media/Everest-Base-Camp/pheriche%20villagee.jpg
pokhara_lake,Phewa Lake,Pokhara,Kaski,warm,A serene lake with boating options and stunning views of the Annapurna range.,https://holeinthedonut.com/wp-content/uploads/2018/03/Nepal-Pokhara-Wooden-boats-on-Phewa-Lake.jpg
poon_hill,Poon Hill,Kaski,Kaski,cold,Popular sunrise viewpoint accessible through short trek offering panoramic Annapurna and Dhaulagiri ranges.,https://miro.medium.com/v2/resize%3Afit%3A850/1%2AVLVv6r4ISNyGBHGxGNxKgA.jpeg
pulchoki,Phulchoki Hill,Lalitpur,Lalitpur,cold,Highest hill around Kathmandu Valley famous for diverse bird species wildflowers and mountain views.,https://media.tacdn.com/media/attractions-splice-spp-674x446/0a/07/f0/02.jpg
ramdung_peak,Ramdung Peak,Dolakha,Dolakaha,cold,Climbable peak for beginner mountaineers.,https://sunriseadventuretrek.com/admin/images/package/20230505133726image-Ramdung-Peak-climbing-2.jpg
ramtoli,Ramtoli,Beni,Myagdi,cold,Avillage in himlayan region.,https://missionhimalayatreks.com/wp-content/uploads/2023/01/Popular-Village-Trekking-in-Nepal.webp
rara_lake,Rara Lake,Mugu,Mugu,cold,"The largest lake in Nepal, surrounded by tranquil mountains and pine forests.",https://upload.wikimedia.org/wikipedia/commons/a/ae/Rara_lake%2C_Mugu.jpg
rengo_la,Rengo La Pass,Solukhumbu,Solukhumbu,cold,"Rengo La is a mountain pass in Nepal, known for its scenic trekking routes and panoramic Himalayan views",https://www.halfwayanywhere.com/wp-content/uploads/2018/09/Nepal-Three-Passes-Renjo-La-Trail-Start.jpg
resunga_hill,Resunga Hill,Tamghas,Gulmi,cold,A sacred hill known for its natural beauty and religious significance.,https://tripguidenepal.com/wp-content/uploads/2024/01/WhatsApp-Image-2024-01-31-at-2.27.44%E2%80%AFPM-2-1024x768.jpeg
rupa_lake,Rupa Lake,Pokhara,Kaski,rainy;cold,Pristine freshwater lake offering tranquil environment bird watching and reflection of surrounding hills.,https://asianheritagetreks.com/wp-content/uploads/2024/05/rupa-lake.jpg
sarangkot,Sarangkot,Pokhara,Kaski,cold,"A famous hill station near Pokhara, renowned for its spectacular sunrise views over the Annapurna and Dhaulagiri mountain ranges",https://www.glorioushimalaya.com/wp-content/uploads/2024/10/Sarangkot-View-Point.webp
sauraha,Sauraha,Chitwan,Chitwan,sunny,Popular tourist hub for Chitwan National Park offering jungle safaris elephant rides and cultural programs.,https://i0.wp.com/ghumante.com/wp-content/uploads/2015/09/4.jpg?resize=960%2C636
shanti_stupa,Shanti Stupa,Pokhara,Kaski,warm,A peaceful hilltop with scenic mountain and lake view,https://live.staticflickr.com/599/21663946954_18acf645a6_b.jpg
shey_phoksundo,Shey Phoksundo Lake,Dolpa,Dolpa,cold,A stunning turquoise lake in the Himalayas within Shey Phoksundo National Park.,https://honeyguideapps.s3.amazonaws.com/static/trip/e68f234b5b55/phoksundo-lake-trek_4025.jpeg
shivapuri,Shivapuri National Park,Kathmandu,Kathmandu,sunny,Nearest national park to Kathmandu offering hiking trails diverse flora fauna and watershed protection.,https://www.snnp.gov.np/assets/shivapuri_NP-C1pbcCqz.jpg
sindhuli,Sindhuli Gadhi,Sindhuli,Sindhuli,sunny,"A historically significant fort from the Anglo-Nepalese War, known for the battle where Nepali forces defeated the British",https://assets-cdn.kathmandupost.com/uploads/source/news/2020/miscellaneous/shutterstock_1567161847.jpg
smarak,Sahid Smarak,Hetauda,Makwanpur,cold,Large Sherpa village near Namche featuring Hillary School monastery and claimed Yeti scalp display.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Sahid_Smarak%2C_Hetauda.jpg/2560px-Sahid_Smarak%2C_Hetauda.jpg
swayambhu,Swayambhunath Temple,Kathmandu,Kathmandu,sunny,Ancient hilltop temple complex known as Monkey Temple offering panoramic valley views and Buddhist heritage.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Swayambhunath_2018.jpg/1200px-Swayambhunath_2018.jpg
syangboche,Syangboche,Solukhumbu,Solukhumbu,cold,Small airstrip village near Namche Bazaar offering mountain flights and access to Everest region.,https://www.natureloverstrek.com/pagegallery/all-you-need-to-know-about-syangboche-%7C-interesting-things-about-syangboche68.JPG
tansen,Tansen,Palpa,Palpa,cold,Historic hill town known for traditional Newari architecture metalwork and panoramic mountain views.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Evening_View_of_Tansen.jpg/1200px-Evening_View_of_Tansen.jpg
tengboche,Tengboche Monastery,,trek,cold,Famous monastery on Everest trek offering spiritual experience mountain views and Buddhist culture immersion.,https://cms.altitudehimalaya.com/media/Blog/Travel-Guides/Tengboche_Monastery.png
thame,Thame,Solukhumbu,Solukhumbu,cold,Traditional Sherpa village off main Everest trail featuring monastery authentic culture and peaceful mountain setting.,https://www.himalayan-foundation.org/perch/resources/blog/thame-hostel-top-sm-1.jpg
thankot,Thankot,Kathmandu,Kathmandu,sunny,Hill station offering escape from city life with hiking trails mountain views and peaceful environment.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/23/f5/30/chandragiri-hills-thankot.jpg?h=1400&s=1&w=1400
thorong_la,Thorong La Pass,Mustang,Mustang,cold,High mountain pass at 5416m connecting Manang and Mustang districts on classic Annapurna Circuit trek.,https://himalayantrekkers.com/_next/image?q=75&url=https%3A%2F%2Fapi.himalayantrekkers.com%2Fapi%2Ffile-upload%2Ftrips%252FMarch2021%252Fthorong-La-pass--trek-Annapurna-region.jpg&w=3840
thorong_phedi,Thorong Phedi,Mustang,Mustang,cold,Last stop before crossing Thorong La Pass on Annapurna Circuit providing basic mountain accommodation.,https://www.got2globe.com/wp-content/uploads/2022/07/SWO0789.jpg
thyangboche,Thyangboche,Solukhumbu,Solukhumbu,cold,Village featuring famous monastery spiritual atmosphere and panoramic views of Everest Lhotse and Ama Dablam.,https://cms.altitudehimalaya.com/media/Blog/Travel-Guides/tengboche_in_nepal.png
tilicho_lake,Tilicho Lake,Manang,Manang,cold,"One of the highest lakes in the world, nestled at the foot of the Himalayas.",https://upload.wikimedia.org/wikipedia/commons/3/30/Peak_Tilicho_and_Lake_Tilicho.jpg
trikhandi_temple,Trikhandi Temple,Thori,Parsa,sunny,Mythical Temple in Thori believed to be visited by Pandavas during exile.,https://hetaudaonline.com.np/wp-content/uploads/2019/07/hol_trikhandi-1.jpg
ulleri,Ulleri,kaski,kaski,cold,Scenic village on Annapurna Circuit known for stone steps terraced fields and traditional mountain architecture.,https://miro.medium.com/v2/resize%3Afit%3A1000/0%2AUoxdiBkyC5iuAimw.jpg
